Model_ID	Category	Name	Database	Description	Keyword
PF00154	Recombination	RecA	Pfams	recA bacterial DNA recombination protein	recombination
PF00239	Recombination	Resolvase	Pfams	Resolvase, N terminal domain	Resolvase
PF00552	Integron	IN_DBD_C	Pfams	Integrase DNA binding domain	Integrase
PF00589	Integron	Phage_integrase	Pfams	Phage integrase family	integrase
PF00665	Integron	rve	Pfams	Integrase core domain	Integrase
PF01021	Transposon	TYA	Pfams	TYA transposon protein	transposon
PF01076	Recombination	Mob_Pre	Pfams	Plasmid recombination enzyme	Recombinase
PF01300	Recombination	Sua5_yciO_yrdC	Pfams	Telomere recombination	recombination
PF01359	Transposon	Transposase_1	Pfams	Transposase (partial DDE domain)	Transposase
PF01385	Transposon	OrfB_IS605	Pfams	Probable transposase	transposase
PF01498	Transposon	HTH_Tnp_Tc3_2	Pfams	Transposase	Transposase
PF01526	Transposon	DDE_Tnp_Tn3	Pfams	Tn3 transposase DDE domain	transposase
PF01527	Transposon	HTH_Tnp_1	Pfams	Transposase	Transposase
PF01548	Transposon	DEDD_Tnp_IS110	Pfams	Transposase	Transposase
PF01609	Transposon	DDE_Tnp_1	Pfams	Transposase DDE domain	Transposase
PF01610	Transposon	DDE_Tnp_ISL3	Pfams	Transposase	Transposase
PF01672	Plasmid	Plasmid_parti	Pfams	Putative plasmid partition protein	plasmid
PF01710	Transposon	HTH_Tnp_IS630	Pfams	Transposase	Transposase
PF01719	Plasmid	Rep_2	Pfams	Plasmid replication protein	Plasmid
PF01797	Transposon	Y1_Tnp	Pfams	Transposase IS200 like	Transposase
PF01870	Recombination	Hjc	Pfams	Archaeal holliday junction resolvase (hjc)	resolvase
PF02022	Integron	Integrase_Zn	Pfams	Integrase Zinc binding domain	Integrase
PF02281	Transposon	Dimer_Tnp_Tn5	Pfams	Transposase Tn5 dimerisation domain	Transposase
PF02371	Transposon	Transposase_20	Pfams	Transposase IS116/IS110/IS902 family	Transposase
PF02534	Conjugation	T4SS-DNA_transf	Pfams	Type IV secretory system Conjugative DNA transfer	T4SS-DNA_transf
PF02565	Recombination	RecO_C	Pfams	Recombination protein O C terminal	Recombination
PF02796	Recombination	HTH_7	Pfams	Helix-turn-helix domain of resolvase	resolvase
PF02914	Transposon	DDE_2	Pfams	Bacteriophage Mu transposase	transposase
PF02920	Integron	Integrase_DNA	Pfams	DNA binding domain of tn916 integrase	integrase
PF02945	Recombination	Endonuclease_7	Pfams	Recombination endonuclease VII	Recombination
PF02992	Transposon	Transposase_21	Pfams	Transposase family tnp2	Transposase
PF02994	Transposon	Transposase_22	Pfams	L1 transposable element	transposase
PF03004	Transposon	Transposase_24	Pfams	Plant transposase (Ptta/En/Spm family)	transposase
PF03017	Transposon	Transposase_23	Pfams	TNP1/EN/SPM transposase	transposase
PF03050	Transposon	DDE_Tnp_IS66	Pfams	Transposase IS66 family	Transposase
PF03089	Recombination	RAG2	Pfams	Recombination activating protein 2	Recombination
PF03108	Transposon	DBD_Tnp_Mut	Pfams	MuDR family transposase	transposase
PF03221	Transposon	HTH_Tnp_Tc5	Pfams	Tc5 transposase DNA-binding domain	transposase
PF03400	Transposon	DDE_Tnp_IS1	Pfams	IS1 transposase	transposase
PF03524	Conjugation	CagX	Pfams	Conjugal transfer protein	CagX
PF03525	Recombination	Meiotic_rec114	Pfams	Meiotic recombination protein rec114	recombination
PF03534	Plasmid	SpvB	Pfams	Salmonella virulence plasmid 65kDa B protein	plasmid
PF03538	Plasmid	VRP1	Pfams	Salmonella virulence plasmid 28.1kDa A protein	plasmid
PF03652	Recombination	RuvX	Pfams	Holliday junction resolvase	resolvase
PF03743	Conjugation	TrbI	Pfams	Bacterial conjugation TrbI-like protein	TrbI
PF03838	Recombination	RecU	Pfams	Recombination protein U	Recombination
PF03930	Recombination	Flp_N	Pfams	Recombinase Flp protein N-terminus	Recombinase
PF04195	Transposon	Transposase_28	Pfams	Putative gypsy type transposon	transposon
PF04236	Transposon	Transp_Tc5_C	Pfams	Tc5 transposase C-terminal domain	transposase
PF04610	Plasmid	TrbL	Pfams	TrbL/VirB6 plasmid conjugal transfer protein	plasmid
PF04693	Transposon	DDE_Tnp_2	Pfams	Archaeal putative transposase ISC1217	transposase
